timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663233169458,491,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/job-titles,200,OK,Orange HRM 1-5,text,true,,4976,628,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/job-titles,490,0,0
1663233169949,395,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/subunits,200,OK,Orange HRM 1-5,text,true,,2248,626,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/subunits,395,0,0
1663233123636,5821,Login,200,"Number of samples in transaction : 6, number of failing samples : 0",Orange HRM 1-3,,true,,30253,10096,5,5,null,0,48854,0
1663233172487,3663,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,200,OK,Orange HRM 1-3,text,true,,16319,6793,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,1098,0,0
1663233172487,1098,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-0,302,Found,Orange HRM 1-3,text,true,,1777,943,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,1098,0,0
1663233173585,392,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-1,302,Found,Orange HRM 1-3,text,true,,1690,768,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPimModule,392,0,0
1663233173977,1167,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-2,200,OK,Orange HRM 1-3,text,true,,7887,771,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,1167,0,575
1663233175145,1005,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-3,304,Not Modified,Orange HRM 1-3,,true,,991,857,5,5,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,0,0,476
1663233175145,210,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-4,304,Not Modified,Orange HRM 1-3,,true,,993,869,5,5,https://opensource-demo.orangehrmlive.com/web/dist/css/chunk-vendors.css?1660914792648,0,0,0
1663233175145,999,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-5,304,Not Modified,Orange HRM 1-3,,true,,993,859,5,5,https://opensource-demo.orangehrmlive.com/web/dist/css/app.css?1660914792648,0,0,472
1663233175145,999,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-6,304,Not Modified,Orange HRM 1-3,,true,,994,868,5,5,https://opensource-demo.orangehrmlive.com/web/dist/js/chunk-vendors.js?1660914792648,0,0,472
1663233175145,1005,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-7,304,Not Modified,Orange HRM 1-3,,true,,994,858,5,5,https://opensource-demo.orangehrmlive.com/web/dist/js/app.js?1660914792648,0,0,476
1663233176150,386,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,304,Not Modified,Orange HRM 1-3,,true,,1052,682,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,0,0,0
1663233176536,446,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,200,OK,Orange HRM 1-3,text,true,,4361,730,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?offset=0&sortOrder=ASC&limit=50&sortField=employee.firstName&model=detailed&includeEmployees=onlyCurrent,446,0,0
